   PHI1    PHI2     PHI       ODF
   30.00   85.00    0.00   0.194574E+00
   35.00   85.00    0.00   0.234118E+00
   40.00   85.00    0.00   0.213685E+00
   45.00   85.00    0.00   0.266093E+00
   50.00   85.00    0.00   0.271543E+00
   55.00   85.00    0.00   0.271626E+00
   60.00   85.00    0.00   0.221006E+00
   65.00   85.00    0.00   0.227204E+00
   70.00   85.00    0.00   0.205644E+00
   75.00   85.00    0.00   0.136409E+00
   80.00   85.00    0.00   0.422475E+01
   85.00   85.00    0.00   0.201224E+01
   90.00   85.00    0.00   0.211240E+01
    0.00   90.00    0.00   0.233003E+01
    5.00   90.00    0.00   0.211788E+01
   10.00   90.00    0.00   0.237844E+01
   15.00   90.00    0.00   0.296023E+01
   20.00   90.00    0.00   0.130083E+00
   25.00   90.00    0.00   0.194640E+00
   30.00   90.00    0.00   0.234126E+00
   35.00   90.00    0.00   0.213681E+00
   40.00   90.00    0.00   0.266011E+00
   45.00   90.00    0.00   0.271565E+00
   50.00   90.00    0.00   0.271656E+00
   55.00   90.00    0.00   0.221070E+00
   60.00   90.00    0.00   0.227161E+00
   65.00   90.00    0.00   0.205590E+00
   70.00   90.00    0.00   0.136356E+00
   75.00   90.00    0.00   0.422470E+01
   80.00   90.00    0.00   0.237827E+01
   85.00   90.00    0.00   0.210083E+01
   90.00   90.00    0.00   0.232266E+01
    0.00    0.00    5.00   0.112930E+01
    5.00    0.00    5.00   0.806824E+00
   10.00    0.00    5.00   0.925763E+00
   15.00    0.00    5.00   0.105069E+01
   20.00    0.00    5.00   0.128375E+01
   25.00    0.00    5.00   0.180867E+01
   30.00    0.00    5.00   0.112914E+00
   35.00    0.00    5.00   0.960723E-01
   40.00    0.00    5.00   0.727170E+01
   45.00    0.00    5.00   0.698466E+01
   50.00    0.00    5.00   0.648420E+01
   55.00    0.00    5.00   0.601426E+01
   60.00    0.00    5.00   0.821855E-01
   65.00    0.00    5.00   0.761303E+00
   70.00    0.00    5.00   0.630239E+00
   75.00    0.00    5.00   0.546204E+00
   80.00    0.00    5.00   0.482547E+00
   85.00    0.00    5.00   0.531901E+00
   90.00    0.00    5.00   0.659666E+00
    0.00    5.00    5.00   0.114999E+01
    5.00    5.00    5.00   0.946692E+00
   10.00    5.00    5.00   0.109342E+01
   15.00    5.00    5.00   0.150178E+01
   20.00    5.00    5.00   0.178822E+01
   25.00    5.00    5.00   0.117072E+00
   30.00    5.00    5.00   0.987071E-01
   35.00    5.00    5.00   0.819314E+01
   40.00    5.00    5.00   0.732383E+01
   45.00    5.00    5.00   0.695764E+01
   50.00    5.00    5.00   0.825260E-01
   55.00    5.00    5.00   0.843895E-01
   60.00    5.00    5.00   0.801786E+00
   65.00    5.00    5.00   0.643359E+00
   70.00    5.00    5.00   0.557834E+00
   75.00    5.00    5.00   0.487875E+00
   80.00    5.00    5.00   0.528954E+00
   85.00    5.00    5.00   0.667652E+00
   90.00    5.00    5.00   0.594250E+00
    0.00   10.00    5.00   0.105705E+01
    5.00   10.00    5.00   0.104116E+01
   10.00   10.00    5.00   0.148501E+01
   15.00   10.00    5.00   0.176393E+01
   20.00   10.00    5.00   0.111900E+00
   25.00   10.00    5.00   0.102142E+00
   30.00   10.00    5.00   0.120899E+00
   35.00   10.00    5.00   0.126276E+00
   40.00   10.00    5.00   0.110854E+00
   45.00   10.00    5.00   0.846315E-01
   50.00   10.00    5.00   0.877319E-01
   55.00   10.00    5.00   0.522093E+01
   60.00   10.00    5.00   0.663602E+00
   65.00   10.00    5.00   0.568395E+00
   70.00   10.00    5.00   0.491978E+00
   75.00   10.00    5.00   0.520029E+00
   80.00   10.00    5.00   0.653115E+00
   85.00   10.00    5.00   0.607329E+00
   90.00   10.00    5.00   0.531742E+00
    0.00   15.00    5.00   0.941764E+00
    5.00   15.00    5.00   0.143410E+01
   10.00   15.00    5.00   0.176061E+01
   15.00   15.00    5.00   0.109004E+00
   20.00   15.00    5.00   0.988635E-01
   25.00   15.00    5.00   0.124493E+00
   30.00   15.00    5.00   0.129205E+00
   35.00   15.00    5.00   0.121509E+00
   40.00   15.00    5.00   0.882474E-01
   45.00   15.00    5.00   0.586092E+01
   50.00   15.00    5.00   0.514543E+01
   55.00   15.00    5.00   0.674606E+00
   60.00   15.00    5.00   0.586521E+00
   65.00   15.00    5.00   0.496787E+00
   70.00   15.00    5.00   0.517329E+00
   75.00   15.00    5.00   0.644802E+00
   80.00   15.00    5.00   0.719200E+00
   85.00   15.00    5.00   0.608933E+00
   90.00   15.00    5.00   0.654350E+00
    0.00   20.00    5.00   0.137694E+01
    5.00   20.00    5.00   0.172022E+01
   10.00   20.00    5.00   0.105052E+00
   15.00   20.00    5.00   0.123420E+00
   20.00   20.00    5.00   0.143949E+00
   25.00   20.00    5.00   0.143433E+00
   30.00   20.00    5.00   0.138320E+00
   35.00   20.00    5.00   0.962417E-01
   40.00   20.00    5.00   0.585761E+01
   45.00   20.00    5.00   0.524347E+01
   50.00   20.00    5.00   0.681694E+00
   55.00   20.00    5.00   0.581536E+00
   60.00   20.00    5.00   0.497987E+00
   65.00   20.00    5.00   0.505325E+00
   70.00   20.00    5.00   0.628210E+00
   75.00   20.00    5.00   0.703919E+00
   80.00   20.00    5.00   0.787838E+00
   85.00   20.00    5.00   0.947244E+00
   90.00   20.00    5.00   0.796308E+00
    0.00   25.00    5.00   0.169580E+01
    5.00   25.00    5.00   0.943457E-01
   10.00   25.00    5.00   0.106838E+00
   15.00   25.00    5.00   0.123476E+00
   20.00   25.00    5.00   0.124237E+00
   25.00   25.00    5.00   0.130114E+00
   30.00   25.00    5.00   0.100497E+00
   35.00   25.00    5.00   0.642282E+01
   40.00   25.00    5.00   0.532497E+01
   45.00   25.00    5.00   0.131950E+01
   50.00   25.00    5.00   0.561220E+00
   55.00   25.00    5.00   0.467744E+00
   60.00   25.00    5.00   0.474481E+00
   65.00   25.00    5.00   0.583851E+00
   70.00   25.00    5.00   0.676899E+00
   75.00   25.00    5.00   0.750211E+00
   80.00   25.00    5.00   0.892638E+00
   85.00   25.00    5.00   0.108647E+01
   90.00   25.00    5.00   0.470224E+01
    0.00   30.00    5.00   0.921007E-01
    5.00   30.00    5.00   0.103886E+00
   10.00   30.00    5.00   0.122151E+00
   15.00   30.00    5.00   0.121437E+00
   20.00   30.00    5.00   0.126729E+00
   25.00   30.00    5.00   0.112587E+00
   30.00   30.00    5.00   0.104558E+00
   35.00   30.00    5.00   0.157319E+01
   40.00   30.00    5.00   0.116459E+01
   45.00   30.00    5.00   0.114694E+01
   50.00   30.00    5.00   0.489399E+00
   55.00   30.00    5.00   0.484199E+00
   60.00   30.00    5.00   0.601111E+00
   65.00   30.00    5.00   0.686458E+00
   70.00   30.00    5.00   0.756883E+00
   75.00   30.00    5.00   0.893630E+00
   80.00   30.00    5.00   0.107738E+01
   85.00   30.00    5.00   0.486634E+01
   90.00   30.00    5.00   0.508977E+01
    0.00   35.00    5.00   0.101417E+00
    5.00   35.00    5.00   0.118950E+00
   10.00   35.00    5.00   0.120465E+00
   15.00   35.00    5.00   0.123894E+00
   20.00   35.00    5.00   0.109650E+00
   25.00   35.00    5.00   0.107345E+00
   30.00   35.00    5.00   0.165374E+01
   35.00   35.00    5.00   0.127815E+01
   40.00   35.00    5.00   0.119322E+01
   45.00   35.00    5.00   0.508449E+00
   50.00   35.00    5.00   0.502383E+00
   55.00   35.00    5.00   0.608411E+00
   60.00   35.00    5.00   0.709213E+00
   65.00   35.00    5.00   0.760656E+00
   70.00   35.00    5.00   0.895830E+00
   75.00   35.00    5.00   0.106686E+01
   80.00   35.00    5.00   0.477362E+01
   85.00   35.00    5.00   0.524552E+01
   90.00   35.00    5.00   0.559374E+01
    0.00   40.00    5.00   0.115816E+00
    5.00   40.00    5.00   0.116906E+00
   10.00   40.00    5.00   0.122788E+00
